condition,step,microaction,hypothesis,judged_action,predicate,likelihood,output_belief
s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.760
s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
s20_off,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.363
s20_off,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
s20_on,22,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
s20_on,89,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
s30_off,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.895
s30_off,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
s30_on,39,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.902
s30_on,98,GRASP,d(item_7),pick_up(?item=item_7),"holding(human_0, item_7)",1.0,0.001
s40_off,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
s40_off,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
s40_on,60,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.904
s40_on,272,GRASP,d(item_6),pick_up(?item=item_6),"holding(human_0, item_6)",1.0,0.001
nobound/s00_off,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.760
nobound/s00_off,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
nobound/s00_on,41,GRASP,d(item_3),pick_up(?item=item_3),"holding(human_0, item_3)",1.0,0.905
nobound/s00_on,111,GRASP,d(item_2),pick_up(?item=item_2),"holding(human_0, item_2)",1.0,0.001
